"","anna","grace","rachel","autograder"
"ctai3_e",15.75,19,15.25,16.75
"eperke1",13.5,15,14,13.5
"gkilch1",15.25,16.75,15.25,17.5
"pcastr1",14,15.5,13.5,14.75
"salle85",17,17.5,16.5,17.25
"smazza2",12.75,10.75,9.5,10.25
"wmulli8",16.5,13,10,15.5
