"","anna","grace","rachel","autograder"
"cmcgre7",6.5,7.5,5.5,4
"jkilgo6",8,8,7,7.5
"ccroc24",20,18.5,16.5,15.5
"charne3",21,17.5,17,16
"jponth4",21,20.5,19.5,19.5
"lbooth3",20,20.5,18.5,18.5
"tvaugh8",20,18.5,18.5,18.5
